fiscalWeek,eventName,business
2015-W27,Win7 Pro_May,Traffic Business
2015-W27,Power PC,Traffic Business
2015-W27,PNL - PCs,SMB
2015-W28,Monthly Printer,Traffic Business
2015-W28,Touch,Traffic Business
2015-W28,"PNL - Workstations, monitors",SMB
2015-W29,Supplies_May,Traffic Business
2015-W29,Memorial Day Sale1,Traffic Business
2015-W29,Memorial Day Sale2,Traffic Business
2015-W30,Memorial Day Sale3,Traffic Business
2015-W30,Budget,Traffic Business
2015-W31,High performance,Traffic Business
2015-W31,Tablet,Traffic Business
2015-W31,Pavilion x360 (Pike?) NPI for Intel funding?,Traffic Business
2015-W31,PNL - Thin clients,SMB
2015-W32,Clearance sale 1,Traffic Business
2015-W32,Clearance sale 2,Traffic Business
2015-W32,Clearance sale 3,Traffic Business
2015-W33,Monthly printer_June,Traffic Business
2015-W33,Win7_June,Traffic Business
2015-W33,DT ENVY tower NPI (6/10 NPI),Traffic Business
2015-W34,Supplies_June,Traffic Business
2015-W34,"Buy more, save more",Traffic Business
2015-W35,July 4 sale 1,Traffic Business
2015-W35,July 4 sale 2,Traffic Business
2015-W35,July 4 sale 3,Traffic Business
2015-W35,PNL - Servers/storage,SMB
2015-W36,NPI DT,Traffic Business
2015-W36,Monthly printer_July,Traffic Business
2015-W36,NB NPI - Ad embargo of 6/29?,Traffic Business
2015-W37,DOTW,Traffic Business
2015-W37,Budget,Traffic Business
2015-W37,DOTW reminder,Traffic Business
2015-W37,PNL - Business PCs,SMB
2015-W38,High performance,Traffic Business
2015-W38,Detachables,Traffic Business
2015-W38,Tablet & PSG,Traffic Business
2015-W38,PNL- Thin clients,SMB
2015-W39,Supplies (national offer),Traffic Business
2015-W39,Win 10 launch,Traffic Business
2015-W39,Win10 + supplies,Traffic Business
