Biz,GBU,Metric,Total Store + Deals,2014-W48,2014-W49,2014-W50,2014-W51,2014-W52,2015-W01,2015-W02,2015-W03,2015-W04,2015-W05,2015-W06,2015-W07,2015-W08,2015-W09,2015-W10,2015-W11,2015-W12,2015-W13,2015-W14,2015-W15,2015-W16,2015-W17,2015-W18,2015-W19,2015-W20,2015-W21,2015-W22,2015-W23,2015-W24,2015-W25,2015-W26,2015-W27,2015-W28,2015-W29,2015-W30,2015-W31,2015-W32,2015-W33,2015-W34,2015-W35,2015-W36,2015-W37,2015-W38,2015-W39,2015-W40,2015-W41,2015-W42,2015-W43,2015-W44,2015-W45,2015-W46,2015-W47
Traffic Business,PSG Other,Traffic,PSG Other Traffic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Traffic Business,PSG Other,Conversion,PSG Other Conversion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Traffic Business,PSG Other,AOS,PSG Other AOS,310.2969538,299.3524737,313.3057774,304.5137956,336.3266827,394.2317588,385.4119727,485.6699547,323.0551831,383.0207499,445.9655771,400.6689118,397.8285616,400.5005308,355.8899482,283.0652528,205.7585947,423.3207453,428.9979253,391.3385011,314.6184461,545.0219199,488.6821784,507.1718661,434.2624561,362.9966491,378.7228395,364.1455462,381.7220403,365.5250323,343.9009277,388.8653935,361.4206239,378.2152102,376.0683862,340.2711449,360.3331526,379.972552,360.4855035,428.3255267,346.8987238,374.5060159,397.4741945,331.5810941,302.3815795,390.257328,389.8904995,343.0183667,347.5420318,390.6101144,363.7902673,373.3726108
Traffic Business,PSG Other,RPV/RPC,PSG Other RPV/RPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Traffic Business,PSG Other,Number of Orders,PSG Other Number of Orders,68.2524047,80.73921777,87.87807249,295.7453969,341.069536,136.7997465,154.2121446,93.4531568,147.3977602,96.34848616,113.9324735,110.2037609,105.9056165,31.90076222,35.43330621,43.71947889,89.46912159,27.73770621,30.0305365,25.84623535,43.39172176,22.95128195,21.18195509,23.56641334,26.32273563,32.82694304,38.66459549,40.9092891,42.75995207,55.47515305,77.93464572,41.25379244,61.11678591,41.10926608,48.98307243,98.77133362,63.97343578,57.56652429,52.11714344,62.32156589,76.63909349,63.01095519,57.83437675,79.12430617,96.57501642,40.8568994,38.28720024,36.90961223,43.35643258,39.33678213,38.32369454,33.33226848
Traffic Business,PSG Other,Order $,PSG Other Order $,17525.18922,20000.21366,22783.27606,74523.32317,94923.00985,44627.66319,49182.54806,37558.0002,39403.50402,30537.56778,42045.16978,36538.38173,34864.40026,10572.34684,10435.05267,10240.67975,15233.45468,9716.443786,10660.69527,8369.839275,11296.87468,10351.13955,8565.639464,9890.446348,9459.116029,9860.531029,12117.19827,12327.19261,13506.77585,16779.6493,22178.44838,13274.87441,18278.50554,12866.07149,15243.33855,27811.42786,19075.28975,18100.45453,15546.60824,22089.1783,21999.87979,19527.29594,19022.26572,21710.35483,24165.03165,13194.21991,12352.74593,10476.69024,12468.89945,12714.80083,11536.80872,10298.51425
Traffic Business,PSG Other,LIO,PSG Other LIO,1.380632377,1.380632377,1.380632377,1.380632377,1.380632377,1.380632377,1.380632377,1.380632377,1.380632377,1.380632377,1.380632377,1.380632377,1.380632377,1.54813537,1.54813537,1.54813537,1.54813537,1.54813537,1.54813537,1.54813537,1.54813537,1.54813537,1.54813537,1.54813537,1.54813537,1.54813537,1.54813537,1.54813537,1.54813537,1.54813537,1.54813537,1.54813537,1.54813537,1.54813537,1.54813537,1.54813537,1.54813537,1.54813537,1.54813537,1.54813537,1.54813537,1.54813537,1.54813537,1.54813537,1.54813537,1.54813537,1.54813537,1.54813537,1.54813537,1.54813537,1.54813537,1.54813537
Traffic Business,PSG Other,ASP,PSG Other ASP,271.6015299,262.0218757,274.2351397,266.5395575,294.3852347,345.0692877,337.3493686,425.1047299,282.7687507,335.2563419,390.3516664,350.7036988,348.2175531,312.627312,277.8046702,220.9583317,160.6134111,330.4405776,334.8721361,305.4755095,245.5884863,425.4394806,381.461157,395.8940501,338.9815841,283.3521006,295.6278312,284.2489199,297.9689819,285.325735,268.4461427,303.5450227,282.1218687,295.2315801,293.5557875,265.6127651,281.2729979,296.6033461,281.3919216,334.3472674,270.7861969,292.3362145,310.2649796,258.8293852,236.0364922,304.6315549,304.3452117,267.757223,271.2883576,304.906937,283.9715922,291.4514882
Traffic Business,PSG Other,Units,PSG Other Units,77.97641374,92.24223934,100.398176,337.880629,389.6621573,156.2897847,176.1829498,106.7675498,168.3977112,110.0753805,130.1645815,125.9046343,120.9941277,40.86742173,45.39289242,56.00814077,114.6170834,35.53421481,38.47151336,33.11108973,55.58825773,29.40242343,27.13577456,30.19045582,33.72152459,42.05393326,49.53243182,52.40806344,54.77891035,71.06809734,99.84049947,52.8493997,78.29547918,52.66424991,62.75122408,126.5339592,81.95507559,73.74731077,66.7662191,79.83889845,98.18079369,80.72206116,74.09045115,101.3645494,123.7203016,52.34094805,49.04895839,47.28415824,55.54304949,50.39355653,49.0957105,42.70129545
Traffic Business,PSG Other,PM,PSG Other PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic Business,PSG Other,PM%,PSG Other PM%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deals,PSG Other,Traffic,PSG Other Traffic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deals,PSG Other,Conversion,PSG Other Conversion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deals,PSG Other,AOS,PSG Other AOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deals,PSG Other,RPV/RPC,PSG Other RPV/RPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deals,PSG Other,Number of Orders,PSG Other Number of Orders,0.126646463,0.1498165,0.163063076,0.548773463,0.632875143,0.2538402,0.286149957,0.173407982,0.273505455,0.178780441,0.211408592,0.204489741,0.196514274,0.238654376,0.265081866,0.327071963,0.669331886,0.207509931,0.224662937,0.193359554,0.324619963,0.171701974,0.158465376,0.176303864,0.196924324,0.245583273,0.182382831,0.192971163,0.201700832,0.261679071,0.367621622,0.194596202,0.288290936,0.193914464,0.231055602,0.465909321,0.301765896,0.271544174,0.245839172,0.300106881,0.369052334,0.303426607,0.278499011,0.381019771,0.465052933,0.196744682,0.184370404,0.177736686,0.208781079,0.189424621,0.18454614,0.160510138
Deals,PSG Other,Order $,PSG Other Order $,2802.11302,3197.846164,3642.831681,11915.57886,15177.297,7135.543846,7863.827121,6005.171189,6300.249902,4882.670037,6722.627425,5842.14378,5574.489878,6835.784171,6747.013594,6621.337488,9849.526309,6282.381159,6892.907793,5411.704295,7304.243635,6692.757715,5538.303228,6394.886355,6116.000219,6375.543946,4859.161161,4943.371744,5416.400653,6728.86738,8893.859174,5323.405026,7329.929099,5159.469499,6112.785894,11152.76049,7649.450397,7258.528226,6234.401162,9090.408318,9053.659102,8036.111211,7828.275012,8934.510256,9944.68883,5429.846453,5083.552805,4311.495468,5131.353722,5232.550057,4747.768367,4238.170307
Deals,PSG Other,LIO,PSG Other LIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deals,PSG Other,ASP,PSG Other ASP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deals,PSG Other,Units,PSG Other Units,11.39818167,13.48348496,14.67567685,49.38961167,56.95876288,22.84561798,25.75349613,15.60671839,24.61549094,16.09023967,19.02677331,18.40407665,17.68628465,21.4788938,23.8573679,29.4364767,60.23986973,18.67589375,20.21966433,17.40235987,29.21579668,15.4531777,14.2618838,15.8673478,17.72318915,22.10249455,16.41445476,17.36740464,18.15307492,23.55111642,33.08594594,17.51365819,25.94618422,17.45230177,20.79500422,41.93183885,27.15893065,24.43897567,22.12552549,27.00961932,33.21471004,27.30839459,25.06491095,34.29177938,41.85476394,17.70702138,16.59333632,15.99630178,18.7902971,17.0482159,16.60915263,14.44591242
Deals,PSG Other,PM,PSG Other PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deals,PSG Other,PM%,PSG Other PM%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic Business,3PP,Traffic,3PP Traffic,6581.607392,6684.515812,7023.340324,10323.4439,16156.95934,11497.82668,8922.407538,7187.592814,7922.326259,7637.159235,6930.611212,7365.909206,6398.517039,10494.6661,11988.0656,11514.94252,13437.82486,11603.57672,10668.51679,10027.89577,10716.12723,10824.22518,10556.56933,11490.67808,10727.8304,10532.02298,9570.126478,11531.5174,9255.490041,9923.31379,9962.443384,10137.99159,12518.30407,11230.41274,10654.08333,13085.13075,12455.54676,11349.76434,12908.81691,11144.0301,13742.7847,12176.40237,11413.75845,11577.31848,11197.76377,10342.40506,9802.651459,10323.0072,10105.54895,9763.880957,12601.71598,10391.67409
Traffic Business,3PP,Conversion,3PP Conversion,0.014498495,0.015791802,0.017421314,0.042649388,0.035387481,0.021822913,0.033291265,0.029047028,0.030647675,0.02310579,0.030156945,0.026400847,0.02968678,0.048215591,0.040102464,0.041583511,0.056368566,0.039122429,0.045651229,0.037676976,0.052044738,0.042446764,0.037466597,0.038538729,0.041135046,0.043886892,0.035510878,0.031181793,0.040607234,0.04913686,0.06875912,0.035766592,0.042912185,0.032174338,0.040410623,0.066346568,0.045144255,0.044580894,0.035486223,0.057999793,0.046398114,0.041158751,0.042095988,0.044180633,0.054782829,0.040187146,0.042468416,0.032636622,0.043262057,0.04691848,0.030942031,0.03193111
Traffic Business,3PP,AOS,3PP AOS,89.94214557,92.78727024,91.1899503,82.89154367,81.30507113,87.10259297,81.08753371,88.09935158,79.47673258,84.7495092,98.51733184,92.01539843,89.88664965,92.53605557,96.13248692,94.7199711,89.06932193,94.79498272,96.94484354,98.1130932,89.70968366,99.77976118,95.91542181,98.91645708,94.93412845,94.4820655,97.94019916,94.17041593,98.71581208,94.52716004,88.9350254,100.5631299,93.46573324,97.80892291,97.25374019,87.99633987,93.18450606,98.26338296,93.22390499,96.33706955,97.25855834,109.8357006,111.6028942,119.6491449,111.0437711,89.48651604,83.64432531,87.65874879,80.39770306,78.23944141,83.40455748,87.48984185
Traffic Business,3PP,RPV/RPC,3PP RPV/RPC,1.079079415,1.212515627,1.314604527,2.9254338,2.380863695,1.572936003,2.233837787,2.117588932,2.015602018,1.620411297,2.45848316,2.010229359,2.208134546,3.692034294,3.190130758,3.259342201,4.154630241,3.06886945,3.662220031,3.058935057,3.863522087,3.504727812,2.973719057,3.15451926,3.231480974,3.431242841,2.877992354,2.429868787,3.317090908,3.843538664,5.060231574,2.976347215,3.318946772,2.604086114,3.252139043,4.831147745,3.481075529,3.624997705,2.737501167,4.623673133,3.734181346,3.740872937,3.887616413,4.374302182,5.033915338,2.97585671,2.939475115,2.367378579,2.878180677,3.037644356,2.135530829,2.311739517
Traffic Business,3PP,Number of Orders,3PP Number of Orders,78.96272664,87.35120518,101.24926,364.3381507,473.1256904,207.6326884,245.7987091,172.7636664,200.9173789,146.022546,172.952217,160.9205328,157.1844826,418.7196754,397.820737,396.2325756,626.8060915,375.6513382,403.0173703,312.6461608,461.5108711,380.1969716,327.2911779,366.4462555,365.1666729,382.4845303,281.2200819,297.5464631,311.0069321,403.4886926,566.8438317,300.052147,444.5221093,299.0009602,356.2696951,718.3957878,465.2994458,418.6999107,379.064805,534.8548885,527.6455991,414.7137395,397.5910749,423.2599365,507.6250043,343.9346714,344.490196,278.790953,361.7714761,379.082434,322.660461,274.5786611
Traffic Business,3PP,Order $,3PP Order $,5876.958532,6706.941926,7640.22385,24990.91305,31831.81566,14965.59739,16493.04848,12594.83176,13213.70949,10240.57528,14099.57497,12252.90932,11691.55049,32062.81126,31646.43851,31056.96272,46198.57724,29467.1096,32330.74598,25383.25509,34260.0906,31391.95476,25977.05935,29994.80807,28686.71037,29904.08373,22791.58664,23186.57103,25405.28307,31561.32484,41716.08127,24969.09299,34380.56664,24200.16382,28671.63379,52311.31436,35879.26098,34045.66539,29242.06247,42637.98255,42465.61268,37692.86896,36718.02648,41906.75259,46644.931,25468.34973,23844.08138,20222.79551,24068.28855,24542.94353,22269.10582,19878.8685
Traffic Business,3PP,LIO,3PP LIO,1.383003956,1.383003956,1.383003956,1.383003956,1.383003956,1.383003956,1.383003956,1.383003956,1.383003956,1.383003956,1.383003956,1.383003956,1.383003956,1.42511773,1.42511773,1.42511773,1.42511773,1.42511773,1.42511773,1.42511773,1.42511773,1.42511773,1.42511773,1.42511773,1.42511773,1.42511773,1.42511773,1.42511773,1.42511773,1.42511773,1.42511773,1.42511773,1.42511773,1.42511773,1.42511773,1.42511773,1.42511773,1.42511773,1.42511773,1.42511773,1.42511773,1.42511773,1.42511773,1.42511773,1.42511773,1.42511773,1.42511773,1.42511773,1.42511773,1.42511773,1.42511773,1.42511773
Traffic Business,3PP,ASP,3PP ASP,78.59095655,81.07701098,79.68128152,72.43017904,71.04392798,76.10977097,70.85384497,76.9807332,69.44633572,74.0536592,86.08390757,80.4025536,78.54246452,78.46807415,81.51775073,80.31997549,75.52837772,80.38358332,82.20660719,83.19725133,76.07138716,84.61054073,81.33368539,83.87848219,80.50157514,80.11823797,83.05064186,79.85396756,83.70834064,80.15647693,75.41449789,85.27481619,79.25641568,82.93932314,82.4685432,74.61851793,79.01794264,83.32469298,79.05135186,81.69123127,82.47262886,93.13770555,94.63623803,101.4592411,94.16211674,75.88214705,70.92812721,74.33224982,68.17507928,66.34493173,70.72481057,74.1890213
Traffic Business,3PP,Units,3PP Units,90.36761183,99.96767004,115.8730734,416.9608874,541.4610229,237.6218627,281.300346,197.716576,229.9366356,167.1131344,197.9323597,184.1628939,179.8872317,493.78894,469.1431799,467.2702883,739.1816855,442.9991876,475.2714805,368.6982613,544.2518639,448.3597753,385.9688791,432.1437913,430.6348015,451.0574541,331.6380249,350.8914465,366.765147,475.8273029,668.4692198,353.8463567,524.2173082,352.60671,420.142748,847.1918453,548.7196651,493.7656318,447.0246306,630.7452072,622.2434157,489.0648083,468.8723433,499.1431921,598.6334712,405.5962659,406.2513865,328.7733948,426.6309041,447.0454202,380.507954,323.8059111
Traffic Business,3PP,PM,3PP PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic Business,3PP,PM%,3PP PM%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deals,3PP,Traffic,3PP Traffic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deals,3PP,Conversion,3PP Conversion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deals,3PP,AOS,3PP AOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deals,3PP,RPV/RPC,3PP RPV/RPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deals,3PP,Number of Orders,3PP Number of Orders,0.701193279,0.775683422,0.899098899,3.235342464,4.201381696,1.843789492,2.182705818,1.534150693,1.784157181,1.296688098,1.535825032,1.428983027,1.395806698,1.832187499,1.740740222,1.73379092,2.742709149,1.643733806,1.763479079,1.368042681,2.019428506,1.663624088,1.432124736,1.603455217,1.597856161,1.673633736,1.224094376,1.295159824,1.353750535,1.756305012,2.46735703,1.306066562,1.93491521,1.301490957,1.550770225,3.12703217,2.02535477,1.82251638,1.649992748,2.38751958,2.355338291,1.851225808,1.774792558,1.889374871,2.265969075,1.535277661,1.537757447,1.24448495,1.614898734,1.692172499,1.440312475,1.225681851
